school,student_id,test_score,gender,asian,black,hispanic,national,eng_limit,special_ed
Bear Creek,1,116.54205046958118,0,0,1,0,0,0,0
Bear Creek,2,100.51765202698658,0,0,0,0,0,0,0
Bear Creek,3,135.80371675368085,0,0,0,0,0,0,0
Bear Creek,4,92.90027770389068,0,1,0,0,0,0,0
Bear Creek,5,77.62497662941217,1,0,0,1,0,1,0
Bear Creek,6,108.14722999041827,0,0,1,1,0,0,0
Bear Creek,7,55.57334703107138,1,0,1,0,0,0,0
Bear Creek,8,70.04964555996405,1,0,0,1,0,1,0
Bear Creek,9,93.8712577875458,0,0,0,0,0,0,0
Bear Creek,10,86.0607069727345,1,0,0,0,0,1,0
Bear Creek,11,105.1797575633045,1,0,0,0,0,1,0
Bear Creek,12,86.29113420283535,1,1,0,1,0,1,0
Bear Creek,13,83.76923330778263,0,0,0,0,0,0,0
Bear Creek,14,91.66698483906102,0,1,0,0,0,0,0
Bear Creek,15,87.5263799340201,0,0,0,1,0,0,0
Bear Creek,16,115.81690246796994,0,0,1,0,0,0,0
Bear Creek,17,115.09511680386454,0,0,0,1,0,0,0
Bear Creek,18,52.795061504199374,0,0,1,1,0,1,0
Bear Creek,19,73.60054760244093,0,0,0,1,0,1,0
Bear Creek,20,108.88701714717241,0,1,0,0,0,0,0
Bear Creek,21,79.66182380235358,1,0,0,0,0,0,0
Bear Creek,22,73.56874764721431,1,0,0,0,0,0,0
Bear Creek,23,88.20732641617165,1,0,0,0,0,1,0
Bear Creek,24,94.80213811817153,1,0,0,0,0,0,0
Bear Creek,25,114.62134202799894,0,0,1,0,0,0,0
Bear Creek,26,86.52598168975047,1,0,0,0,0,0,0
Bear Creek,27,109.93331815209243,0,0,0,0,0,0,0
Bear Creek,28,108.50129695704203,1,0,0,0,0,0,0
Bear Creek,29,97.5205230351116,0,0,0,0,0,1,0
Bear Creek,30,78.67909820831464,1,0,0,0,0,0,0
Bear Creek,31,87.3061248362087,0,0,0,0,0,0,0
Bear Creek,32,105.20435938448756,0,0,0,0,0,1,0
Bear Creek,33,126.36802545992983,0,0,1,0,0,0,0
Bear Creek,34,95.79036421339957,0,0,0,1,0,1,0
Bear Creek,35,61.62845964738966,1,0,0,0,0,0,0
Bear Creek,36,111.64918380427464,0,0,0,1,0,0,0
Bear Creek,37,128.95061195539438,1,0,0,0,0,0,0
Bear Creek,38,84.53970109540367,0,0,0,0,0,1,0
Bear Creek,39,117.80651740744298,0,0,0,0,0,0,0
Bear Creek,40,73.03744766755226,1,0,0,0,0,0,0
Bear Creek,41,109.50932812982832,1,0,0,0,0,0,0
Bear Creek,42,116.04504386483401,0,0,0,0,0,0,0
Bear Creek,43,84.66154371769852,1,0,0,1,0,1,0
Bear Creek,44,100.63680500923897,1,0,0,1,0,0,0
Bear Creek,45,101.08517818272709,0,0,0,0,0,0,0
Bear Creek,46,65.94619178162259,0,0,1,0,0,1,0
Bear Creek,47,112.6308470504984,1,0,0,0,0,0,0
Bear Creek,48,107.98075336456176,0,0,0,1,0,0,0
Bear Creek,49,124.57699903307281,0,0,0,1,0,0,0
Bear Creek,50,85.00462192988492,1,0,0,0,0,0,0
Bear Creek,51,111.30882771305903,1,0,0,1,0,0,0
Bear Creek,52,95.02439920898928,1,0,1,0,0,1,0
Bear Creek,53,46.285595269836236,0,0,0,0,0,1,0
Bear Creek,54,73.29212968109775,0,0,1,1,0,0,0
Bear Creek,55,83.49953010676269,0,0,0,0,0,0,0
Bear Creek,56,57.27139018806221,1,0,1,0,0,1,0
Bear Creek,57,104.10152473334637,0,0,0,0,0,0,0
Bear Creek,58,117.42217521504207,0,0,0,1,0,0,0
Bear Creek,59,66.09457391274658,1,0,0,1,0,1,0
Bear Creek,60,98.79588302449523,0,0,0,1,0,0,0
