"","variable_name","use_nm","use_tn","variable_label","short_name","group_name","field_type","minimum_possible_value","maximum_possible_value","is_subgroup_variable","is_potential_outcome_variable","is_categorical_variable","is_ordinal_outcome","time_invariant","is_foreign_key","foreign_key_table","is_date","chart_label","definition"
"1","acadyear",1,1,"Flag: Student has data for the academic year","","","byte",0,1,0,0,1,NA,0,0,"",0,"","Indicates whether or not data were submitted for this student for the indicated academic year. (E.g, acadyear_2012 == 1 indicates that data were submitted for the student for the 2011-12 academic year."
"2","age",1,1,"Age on September 1","","","float",0,NA,0,0,0,NA,0,0,"",0,"","Student age on September 1 of the school year (as a decimal value)."
"3","algbr1_dat_m1",0,1,"Algebra 1 (EOC), date taken, one year prior","","","long",17898,19236,0,0,0,NA,2,0,"",0,"","Algebra 1 end-of-course exam, one year prior: Date of administration (of first valid exam)."
"4","algbr1_dat_m2",0,1,"Algebra 1 (EOC), date taken, two years prior","","","long",17898,19236,0,0,0,NA,2,0,"",0,"","Algebra 1 end-of-course exam, two years prior: Date of administration (of first valid exam)."
"5","algbr1_dat_p0",0,1,"Algebra 1 (EOC), date taken, current year","","","long",17898,19236,0,1,0,0,2,0,"",0,"Date of Algebra 1 (end-of-course) exam, academic year of intervention start.","Algebra 1 end-of-course exam, current year: Date of administration (of first valid exam)."
"6","algbr1_dat_p1",0,1,"Algebra 1 (EOC), date taken, one year later","","","long",17898,19236,0,1,0,0,2,0,"",0,"Date of Algebra 1 (end-of-course) exam, year 1 after intervention start.","Algebra 1 end-of-course exam, one year later: Date of administration (of first valid exam)."
"7","algbr1_dat_p2",0,1,"Algebra 1 (EOC), date taken, two years later","","","long",17898,19236,0,1,0,0,2,0,"",0,"Date of Algebra 1 (end-of-course) exam, year 2 after intervention start.","Algebra 1 end-of-course exam, two years later: Date of administration (of first valid exam)."
"8","algbr1_lan_m1",0,1,"Algebra 1 (EOC), exam language, one year prior","","","byte",NA,NA,0,0,1,NA,2,0,"",0,"","Algebra 1 end-of-course exam, one year prior: Language in which the exam taken by the student was administered (first valid exam). 5 = English; 6 = Spanish; 8 = other."
"9","algbr1_lan_m2",0,1,"Algebra 1 (EOC), exam language, two years prior","","","byte",NA,NA,0,0,1,NA,2,0,"",0,"","Algebra 1 end-of-course exam, two years prior: Language in which the exam taken by the student was administered (first valid exam). 5 = English; 6 = Spanish; 8 = other."
"10","algbr1_lan_p0",0,1,"Algebra 1 (EOC), exam language, current year","","","byte",NA,NA,0,1,1,0,2,0,"",0,"Language of Algebra 1 (end-of-course) exam, academic year of intervention start. 5 = English; 6 = Spanish; 8 = other.","Algebra 1 end-of-course exam, current year: Language in which the exam taken by the student was administered (first valid exam). 5 = English; 6 = Spanish; 8 = other."
"11","algbr1_lan_p1",0,1,"Algebra 1 (EOC), exam language, one year later","","","byte",NA,NA,0,1,1,0,2,0,"",0,"Language of Algebra 1 (end-of-course) exam, year 1 after intervention start. 5 = English; 6 = Spanish; 8 = other.","Algebra 1 end-of-course exam, one year later: Language in which the exam taken by the student was administered (first valid exam). 5 = English; 6 = Spanish; 8 = other."
"12","algbr1_lan_p2",0,1,"Algebra 1 (EOC), exam language, two years later","","","byte",NA,NA,0,1,1,0,2,0,"",0,"Language of Algebra 1 (end-of-course) exam, year 2 after intervention start. 5 = English; 6 = Spanish; 8 = other.","Algebra 1 end-of-course exam, two years later: Language in which the exam taken by the student was administered (first valid exam). 5 = English; 6 = Spanish; 8 = other."
"13","algbr1_nam_m1",0,1,"Algebra 1 (EOC), test name, one year prior","","","str",NA,NA,0,0,0,NA,2,0,"",0,"","Algebra 1 end-of-course exam, one year prior: Official name of the exam taken, such as New Mexico Standards Based Assessment (NMSBA), Tennessee Comprehensive Assessment Program (TCAP), or Florida's Comprehensive Assessment Test (FCAT)."
"14","algbr1_nam_m2",0,1,"Algebra 1 (EOC), test name, two years prior","","","str",NA,NA,0,0,0,NA,2,0,"",0,"","Algebra 1 end-of-course exam, two years prior: Official name of the exam taken, such as New Mexico Standards Based Assessment (NMSBA), Tennessee Comprehensive Assessment Program (TCAP), or Florida's Comprehensive Assessment Test (FCAT)."
"15","algbr1_nam_p0",0,1,"Algebra 1 (EOC), test name, current year","","","str",NA,NA,0,1,0,0,2,0,"",0,"Official name of Algebra 1 (end-of-course) exam, academic year of intervention start.","Algebra 1 end-of-course exam, current year: Official name of the exam taken, such as New Mexico Standards Based Assessment (NMSBA), Tennessee Comprehensive Assessment Program (TCAP), or Florida's Comprehensive Assessment Test (FCAT)."
